class_name,breadth,parents
identityEvidence,1,componentEvidence
componentEvidence,1,component
tags,1,component
vulnerability,0,
standard,1,definitions
affirmation,1,declarations
externalReference,8,claim-component-energyProvider-requirement-service-signatory-standard-tool
organizationalEntity,10,annotation-assessor-component-credits-energyProvider-governanceParty-metadata-service-signatory-targets
mapItem,1,attestation
proofOfConcept,1,vulnerability
organizationalContact,7,annotation-component-credits-declarationsEvidence-governanceParty-metadata-organizationalEntity
affect,1,vulnerability
callstackFrame,1,componentEvidence
quantitativeAnalysis,1,modelCard
inlineDataInformation,1,modelParameters
license,1,licenseChoice
componentData,1,component
component,6,annotation-component-formula-metadata-targets-tools
composition,0,
declarationsEvidence,1,declarations
attestation,1,declarations
governanceParty,1,dataGovernance
cipherSuite,1,component
declarations,0,
swid,1,component
workflow,1,formula
dataGovernance,3,componentData-evidenceData-inlineDataInformation
refType,25,annotation-assessor-claim-component-componentData-composition-declarationsEvidence-dependency-energyProvider-evidenceOccurrence-formula-inlineDataInformation-level-modelCard-organizationAddress-organizationalContact-organizationalEntity-requirement-service-standard-task-trigger-vulnerability-workflow-workspace
level,1,standard
definitions,0,
bomLinkElement,4,annotation-composition-externalReference-resourceReferenceChoice
attachmentText,10,event-evidenceData-graphic-inlineDataInformation-io-license-note-patch-proofOfConcept-swid
tools,2,metadata-vulnerability
approach,1,modelParameters
ethicalConsideration,1,considerations
energyConsumption,1,environmentalConsiderations
note,1,releaseNotes
toolsLegacy,2,metadata-vulnerability
modelParameters,1,modelCard
issue,2,patch-releaseNotes
scoreMethod,1,rating
vulnerabilityReference,1,vulnerability
confidence,1,mapItem
tool,1,toolsLegacy
ref,3,annotation-composition-resourceReferenceChoice
modelCard,1,component
confidenceInterval,1,performanceMetric
evidenceData,1,declarationsEvidence
dataClassification,1,service
commit,1,component
evidenceMethod,1,identityEvidence
trigger,2,task-workflow
environmentalConsiderations,1,considerations
resourceReferenceChoice,6,event-io-task-trigger-workflow-workspace
ikev2TransformTypes,1,component
performanceMetric,1,quantitativeAnalysis
rating,1,vulnerability
severity,1,rating
graphicsCollection,3,componentData-inlineDataInformation-quantitativeAnalysis
conformance,1,mapItem
task,1,workflow
formula,0,
vulnerabilitySource,3,rating-vulnerability-vulnerabilityReference
fairnessAssessment,1,considerations
io,3,task-trigger-workflow
hash-alg,1,hash
copyright,1,componentEvidence
dependency,2,task-workflow
identifiableAction,1,commit
requirement,1,standard
event,1,trigger
step,2,task-workflow
property,17,component-energyConsumption-environmentalConsiderations-event-formula-inlineDataInformation-io-metadata-modelCard-releaseNotes-requirement-service-task-trigger-vulnerability-workflow-workspace
workspace,2,task-workflow
co2Measure,1,energyConsumption
hash,3,component-externalReference-tool
graphic,1,graphicsCollection
credits,1,vulnerability
version,6,affect-component-service-standard-swid-tool
organizationAddress,1,organizationalEntity
claim,1,declarations
dataReference,1,modelParameters
targets,1,declarations
energyMeasure,2,energyConsumption-energyProvider
licenseChoice,4,component-componentEvidence-metadata-service
releaseNotes,2,component-service
signature,12,affirmation-annotation-attestation-claim-component-composition-declarations-declarationsEvidence-service-signatory-signature-standard
ioParameter,1,modelParameters
hash-content,1,hash
patch,1,component
considerations,1,modelCard
signatory,1,affirmation
assessor,1,declarations
energyProvider,1,energyConsumption
lifecycle,1,metadata
impactAnalysis,1,vulnerability
evidenceOccurrence,1,componentEvidence
securedBy,1,component
metadata,0,
service,5,annotation-formula-service-targets-tools
advisory,1,vulnerability
annotation,0,
affectedStatus,1,affect
